Timestamp,The following tools are important to my future career. [Excel],The following tools are important to my future career. [Access],The following tools are important to my future career. [Statistics],The following tools are important to my future career. [A programming language],How likely are you to take another information systems course at Stern?,How likely are you to take a computer science course outside of Stern?,Which topics would you like to learn more about? (select all that apply),What new information systems courses and/or topics would you like to see offered at Stern?,"If available, how likely would you be to take an online course at Stern?",What are your areas of concentration?
12/13/2013 19:17:52,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,5,3,"App development, Business Analytics, Dealing with data, Economics of information systems, Social Media Marketing, Web design",,5,"Finance, Marketing"
12/13/2013 19:24:03,Strongly Agree,Disagree,Somewhat agree,Strongly Agree,7,7,"App development, Dealing with data, eCommerce, Python, Web design",Not so much a course but maybe a lesson on the possibilities for careers in IT. Not many people are on this path in Stern and most people don't know about what you can do with this major as a main concentration rather than just to supplement another concentration. ,5,"Finance, Information Systems, Changed from Acct to Information Systems"
12/13/2013 19:25:28,Strongly Agree,Somewhat agree,Strongly Agree,Strongly Agree,4,5,"App development, Financial systems, Python, Statistical programming in R",,6,"Finance, Statistics"
12/13/2013 19:25:36,Strongly Agree,Strongly Agree,Strongly Agree,Agree,1,7,"App development, Business Analytics, eCommerce",Valuing Tech Companies (no one has a clue on how to do it!),4,"Finance, Statistics"
12/13/2013 19:26:23,Agree,Somewhat agree,Strongly Agree,Agree,6,7,"App development, Business Analytics, Data Mining, Financial systems, Data Science, Python, Statistical programming in R",Something dealing with algorithmic trading (not sure if this falls under info systems).,4,"Finance, Statistics"
12/13/2013 19:31:00,Agree,Neither agree or disagree,Somewhat agree,Somewhat agree,4,7,"Business Analytics, Database management systems, Dealing with data, eCommerce, Economics of information systems, Enterprise systems, Financial systems, Statistical programming in R, Web design",,3,"Accounting, Finance, Computer Science"
12/13/2013 19:34:14,Somewhat agree,Disagree,Agree,Strongly Agree,1,6,"App development, Business Analytics, Data Science",Analytics courses.,1,"Finance, Statistics"
12/13/2013 19:38:24,Strongly Agree,Somewhat agree,Agree,Strongly Agree,7,7,"App development, Business Analytics, Database management systems, Data Mining, Dealing with data, eCommerce, Data Science, Python, Social Media Marketing, Statistical programming in R, Web design","Data analysis
Photoshop/something along those lines",5,"Information Systems, Management and Organizations, Marketing, Undecided"
12/13/2013 19:46:16,Strongly Agree,Neither agree or disagree,Strongly Agree,Somewhat agree,3,7,"Business Analytics, Data Mining, Economics of information systems, Financial systems, Python, Statistical programming in R",,7,"Economics, Finance"
12/13/2013 19:47:48,Strongly Agree,Neither agree or disagree,Somewhat agree,Somewhat disagree,5,6,"App development, Business Analytics, Database management systems, eCommerce, Economics of information systems, Financial systems",,5,"Economics, Finance"
12/13/2013 20:07:42,Strongly Agree,Agree,Strongly Agree,Agree,6,6,"App development, Business Analytics, Database management systems, Data Mining, Dealing with data, Financial systems, Data Science, Statistical programming in R",,3,"Finance, Information Systems, Marketing, Statistics, Undecided"
12/13/2013 20:15:19,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,6,5,"Data Mining, Dealing with data, Financial systems, Data Science, Python","- Search Engine Optimization
- Programming languages
- Cybersecurity industry",1,"Finance, Information Systems"
12/13/2013 20:26:27,Strongly Agree,Neither agree or disagree,Somewhat agree,Strongly Agree,1,1,"App development, Business Analytics, Social Media Marketing, Web design",How to make a website not only better looking but more profitable? Like what design / layouts are more conducive to profit and to getting a visitor hooked? ,1,"Global Business, Marketing, Spanish"
12/13/2013 20:27:58,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat disagree,2,1,"Data Mining, Social Media Marketing",,2,Marketing
12/13/2013 21:12:51,Strongly Agree,Strongly Agree,Agree,Agree,6,2,"App development, Business Analytics, eCommerce, Enterprise systems, Financial systems, Data Science, Web design",Not sure if those already exist but App programming classes,1,Finance
12/13/2013 23:36:08,Strongly Agree,Neither agree or disagree,Agree,Somewhat agree,2,4,"Business Analytics, Economics of information systems, Financial systems, Data Science",,1,"Accounting, Finance"
12/13/2013 23:43:30,Somewhat agree,Somewhat agree,Agree,Strongly Agree,4,6,"App development, Data Science, Python, Web design",Web Development. More widely publicized CompSci availability for Stern students.,6,Finance
12/14/2013 6:22:33,Agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,5,4,"Database management systems, Data Mining, Financial systems, Python, Web design",,4,"Finance, Global Business"
12/14/2013 7:43:04,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,5,"App development, Business Analytics, Database management systems, Financial systems, Web design",Data analysis,5,Accounting
12/14/2013 8:32:56,Strongly Agree,Agree,Strongly Agree,Agree,5,5,"App development, Business Analytics, Database management systems, Data Mining, Dealing with data, eCommerce, Economics of information systems, Enterprise systems, Financial systems, Data Science, Social Media Marketing, Statistical programming in R, Web design",,2,"Accounting, Finance"
12/14/2013 10:31:59,Agree,Somewhat agree,Agree,Agree,1,7,"Business Analytics, Data Mining, Dealing with data, Financial systems, Statistical programming in R",,4,"Finance, Statistics"
12/14/2013 14:25:51,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6,6,"Business Analytics, Database management systems, Data Mining, Economics of information systems, Enterprise systems, Financial systems, Data Science",MORE INFO SYSTEMS COURSES IN GENERAL,7,Finance
12/14/2013 11:18:11,Strongly Agree,Somewhat agree,Agree,Agree,6,2,"Business Analytics, Financial systems, Python, Statistical programming in R",,7,"Accounting, Finance"
12/14/2013 14:32:33,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat agree,4,4,"Business Analytics, Dealing with data, Financial systems",,4,"Economics, Finance"
12/14/2013 15:25:42,Agree,Somewhat agree,Agree,Neither agree or disagree,4,2,"Business Analytics, Economics of information systems, Financial systems",,4,Finance
12/14/2013 16:26:23,Agree,Agree,,Neither agree or disagree,7,4,"Business Analytics, Data Mining, Dealing with data, eCommerce, Economics of information systems, Enterprise systems, Financial systems, Statistical programming in R",,2,"Finance, Information Systems"
12/14/2013 16:43:42,Strongly Agree,Somewhat disagree,Somewhat agree,Somewhat agree,2,3,"App development, Business Analytics, Economics of information systems, Enterprise systems, Financial systems, Social Media Marketing",A form of infotech (or other intro classes) with a focus on global.. i.e. global infotech. learn how the same concepts function in other parts of the world ,1,"Finance, Global Business"
12/14/2013 23:01:49,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6,7,"App development, Business Analytics, eCommerce, Financial systems, Python, Statistical programming in R, Web design",Programming,7,Finance
12/15/2013 0:13:42,Strongly Agree,Somewhat disagree,Agree,Agree,5,5,"Business Analytics, Economics of information systems, Financial systems, Web design",Coding for entrepreneurs,6,"Economics, Finance"
12/15/2013 11:18:21,Strongly Agree,Disagree,Strongly Agree,Agree,7,1,"Business Analytics, Data Mining, Enterprise systems, Financial systems, Data Science, Social Media Marketing, Statistical programming in R","More emphasis on the enterprise applications of these technologies. My dad works in mainframe development, and I feel like a lot of students don't realize that this type of thing is the backbone of most banks. Don't force feed them into a career in IT, but make them aware of their presence at the large firms many of us would like to work at.

I'd like to see more about data mining as well.  ",1,"Finance, Statistics"
12/15/2013 22:34:16,Agree,Neither agree or disagree,Disagree,Disagree,1,4,"Business Analytics, Data Mining, Financial systems, Python",,3,"Finance, Management and Organizations"
12/16/2013 20:11:13,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6,7,"App development, Business Analytics, Database management systems, eCommerce, Economics of information systems, Financial systems, Web design",,7,"Accounting, Finance"
12/17/2013 0:01:38,Strongly Agree,Strongly Agree,Strongly Agree,Agree,6,4,"Business Analytics, Data Mining, Dealing with data, Financial systems",,6,Finance
12/18/2013 15:44:19,Strongly Agree,Agree,Agree,Agree,7,6,"App development, Database management systems, Data Mining, Data Science, Social Media Marketing, Statistical programming in R, Web design",Graphics design,4,"Information Systems, Marketing"
12/19/2013 0:34:42,Agree,Neither agree or disagree,Agree,Agree,1,7,"Business Analytics, Data Mining, Financial systems",Data mining,5,"Finance, Statistics"
12/19/2013 13:25:07,Strongly Agree,Somewhat agree,Agree,Somewhat agree,4,2,"Business Analytics, Database management systems, eCommerce, Economics of information systems, Data Science",,5,"Economics, Finance"
12/21/2013 12:51:36,Strongly Agree,Agree,Agree,Neither agree or disagree,4,2,"Business Analytics, Data Mining, Dealing with data, Data Science, Social Media Marketing, Web design",,6,"Finance, Global Business"
12/21/2013 4:07:22,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,4,7,"Business Analytics, Database management systems, Data Mining, Financial systems, Data Science, Python, Statistical programming in R",,6,"Finance, mathematics"
12/26/2013 13:45:17,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6,6,"App development, Business Analytics, Data Mining, Dealing with data, Financial systems, Data Science, Python, Social Media Marketing, Statistical programming in R, Web design",,6,"Actuarial Science, Finance"